Centro-Oeste;Urbana;Total;7,7;4,7;4,8;4,6;4,7;4,7;4,7;4,8;4,9;5,0;5,0;5,1;5,4;5,5;5,3;5,3;4,5
Centro-Oeste;Rural;Total;6,2;4,6;4,7;4,6;4,8;4,8;4,7;4,7;4,7;4,7;4,7;4,7;5,3;5,5;5,5;5,5;6,7
Centro-Oeste;Urbana;Federal;7,3;7,7;5,2;5,1;5,1;5,1;5,1;5,1;5,2;5,2;5,2;5,2;7,9;8,2;8,1;8,0;5,7
Centro-Oeste;Rural;Federal;;;;;;;;;;;;;8,7;8,8;8,8;8,9;5,7
Centro-Oeste;Urbana;Estadual;8,6;5,1;5,1;5,1;5,1;5,1;5,0;5,0;5,1;5,1;5,1;5,2;5,2;5,4;5,2;5,1;3,5
Centro-Oeste;Rural;Estadual;6,9;5,3;4,8;5,0;5,1;5,0;4,9;5,0;4,6;4,6;4,6;4,6;4,7;4,8;4,7;4,7;10,0
Centro-Oeste;Urbana;Municipal;8,1;4,6;4,6;4,5;4,7;4,7;4,7;4,7;4,6;4,6;4,6;4,6;4,5;4,6;4,5;4,4;
Centro-Oeste;Rural;Municipal;6,0;4,4;4,6;4,5;4,6;4,7;4,6;4,6;4,7;4,7;4,7;4,7;6,9;6,8;7,0;7,2;
Centro-Oeste;Urbana;Privada;7,0;5,0;4,7;4,5;4,5;4,5;4,6;4,6;4,9;5,0;5,0;5,1;5,6;5,6;5,6;5,7;
Centro-Oeste;Rural;Privada;7,6;6,6;6,9;4,3;6,2;5,7;6,1;6,4;6,7;7,4;7,8;7,5;6,5;6,6;6,5;6,5;
Centro-Oeste;Urbana;Pública;8,1;4,7;4,9;4,6;4,7;4,8;4,8;4,8;4,9;5,0;5,0;5,1;5,3;5,5;5,3;5,2;4,5
Centro-Oeste;Rural;Pública;6,1;4,5;4,7;4,6;4,8;4,8;4,7;4,7;4,6;4,7;4,6;4,6;5,3;5,5;5,4;5,4;6,7
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
